T0326	hydrolase activity 	-0.677	0.249
T0327	hydrolase activity 	-0.34600000000000003	-0.495
T0328	hydrolase activity 	-0.7070000000000001	-0.32
T0329	hydrolase activity 	-0.075	-0.23199999999999998
T0330	hydrolase activity 	0.9840000000000001	3.395
T0331	ion transporter activity 	1.683	1.8359999999999999
T0332	hydrolase activity 	-0.302	0.033
T0333	hydrolase activity 	-0.053	-0.56
T0334	hydrolase activity 	-1.12	-0.838
T0335	hydrolase activity 	-0.149	-0.638
T0336	lyase activity 	0.196	-0.741
T0337	lyase activity 	0.875	-0.08
T0338	ion transporter activity 	1.696	0.11800000000000001
T0339	NONE	-0.6509999999999999	-0.023
T0340	hydrolase activity 	0.153	0.7759999999999999
T0341	signal transducer activity 	0.41200000000000003	-0.221
T0342	electron transporter activity 	0.934	0.078
T0343	electron transporter activity 	0.11599999999999999	0.39399999999999996
T0344	transferase activity 	-1.034	-0.7020000000000001
T0345	transferase activity 	0.086	0.38299999999999995
T0346	transferase activity 	0.40700000000000003	0.226
T0347	hydrolase activity 	-0.614	-0.166
T0348	channel or pore class transporter activity 	-1.126	-0.095
T0349	channel or pore class transporter activity 	-0.8740000000000001	-0.47
T0350	channel or pore class transporter activity 	-0.39299999999999996	-0.905
T0351	binding 	0.20600000000000002	0.37799999999999995
T0352	hydrolase activity 	0.12	-0.698
T0353	binding 	0.925	0.16699999999999998
T0354	protein binding 	0.13	0.071
T0355	transferase activity 	-0.086	-0.13699999999999998
T0356	transferase activity 	-0.737	-0.153
T0357	NONE	2.116	1.043
T0358	transferase activity 	0.17600000000000002	-0.488
T0359	transferase activity 	0.14400000000000002	-0.597
T0360	oxidoreductase activity 	1.091	-0.961
T0361	NONE	1.765	0.6559999999999999
T0362	hydrolase activity 	-0.18899999999999997	0.9890000000000001
T0363	binding 	2.114	0.159
T0364	molecular_function unknown 	1.5730000000000002	-0.495
T0365	binding 	1.072	-0.19399999999999998
T0366	hydrolase activity 	0.6509999999999999	0.139
T0367	hydrolase activity 	0.8340000000000001	0.617
T0368	transferase activity 	0.139	-0.363
T0369	hydrolase activity 	0.917	1.08
T0370	hydrolase activity 	0.6759999999999999	0.109
T0371	hydrolase activity 	1.013	-0.158
T0372	hydrolase activity 	-0.08900000000000001	-0.087
T0373	hydrolase activity 	0.66	-0.207
T0374	transferase activity 	-0.128	-0.233
T0375	transferase activity 	-0.19699999999999998	-0.24
T0376	transferase activity 	0.355	-1.147
T0377	transferase activity 	1.17	-0.387
T0378	ligase activity 	0.602	-0.802
T0379	transferase activity 	-0.833	-0.9079999999999999
T0380	hydrolase activity 	0.57	0.154
T0381	enzyme regulator activity 	0.561	-0.201
T0382	hydrolase activity 	0.009000000000000001	0.11699999999999999
T0383	hydrolase activity 	0.016	-0.015
T0384	hydrolase activity 	-0.008	0.122
T0385	hydrolase activity 	-0.371	-0.43799999999999994
T0386	hydrolase activity 	0.048	1.1420000000000001
T0387	hydrolase activity 	-0.09300000000000001	0.17600000000000002
T0388	hydrolase activity 	1.2109999999999999	0.111
T0389	hydrolase activity 	1.2570000000000001	0.451
T0390	binding 	-1.993	-0.252
T0391	hydrolase activity 	0.175	0.061
T0392	binding 	1.232	-0.7120000000000001
T0393	binding 	0.615	0.429
T0394	hydrolase activity 	0.455	-0.531
T0395	hydrolase activity 	-0.299	-0.578
T0396	hydrolase activity 	0.249	-0.828
T0397	ligase activity 	-0.345	0.249
T0398	hydrolase activity 	0.7809999999999999	0.14400000000000002
T0399	oxidoreductase activity 	0.39899999999999997	-0.35
T0400	protein binding 	-0.228	-0.389
T0401	protein binding 	0.051	-0.122
T0402	transcription regulator activity 	-0.511	0.305
T0403	oxidoreductase activity 	0.201	-0.331
T0404	oxidoreductase activity 	0.53	-0.134
T0405	binding 	0.342	-0.374
T0406	ligase activity 	-0.24	0.29600000000000004
T0407	hydrolase activity 	1.02	-0.036000000000000004
T0408	isomerase activity 	-0.28300000000000003	-0.011000000000000001
T0409	enzyme regulator activity 	-0.52	-0.552
T0410	NONE	1.676	0.098
T0411	hydrolase activity 	-0.001	-0.49700000000000005
T0412	ligase activity 	1.032	-0.013000000000000001
T0413	transferase activity 	-0.359	-0.484
T0414	binding 	1.4280000000000002	0.27699999999999997
T0415	ion transporter activity 	0.044000000000000004	-0.114
T0416	transferase activity 	1.16	-0.759
T0417	oxidoreductase activity 	1.34	-0.147
T0418	transferase activity 	-0.157	0.114
T0419	hydrolase activity 	-0.42200000000000004	-0.575
T0420	binding 	-2.539	-0.14800000000000002
T0421	oxidoreductase activity 	-0.242	-0.066
T0422	oxidoreductase activity 	0.37799999999999995	0.361
T0423	hydrolase activity 	0.61	-0.09300000000000001
T0424	hydrolase activity 	0.988	-0.41700000000000004
T0425	ligase activity 	0.899	0.161
T0426	binding 	1.568	0.107
T0427	electron transporter activity 	1.0290000000000001	1.4680000000000002
T0428	transcription regulator activity 	0.745	0.285
T0429	oxidoreductase activity 	0.363	-0.18899999999999997
